GCA_contig_name	SCAF
JALGQA010000308.1	SCAF_308
JALGQA010000309.1	SCAF_309
JALGQA010000031.1	SCAF_31
JALGQA010000310.1	SCAF_310
JALGQA010000311.1	SCAF_311
JALGQA010000312.1	SCAF_312
JALGQA010000313.1	SCAF_313
JALGQA010000314.1	SCAF_314
JALGQA010000315.1	SCAF_315
JALGQA010000316.1	SCAF_316
JALGQA010000317.1	SCAF_317
JALGQA010000318.1	SCAF_318
JALGQA010000319.1	SCAF_319
JALGQA010000032.1	SCAF_32
JALGQA010000320.1	SCAF_320
JALGQA010000321.1	SCAF_321
JALGQA010000322.1	SCAF_322
JALGQA010000323.1	SCAF_323
JALGQA010000324.1	SCAF_324
JALGQA010000325.1	SCAF_325
JALGQA010000326.1	SCAF_326
JALGQA010000327.1	SCAF_327
JALGQA010000328.1	SCAF_328
JALGQA010000329.1	SCAF_329
JALGQA010000033.1	SCAF_33
JALGQA010000330.1	SCAF_330
JALGQA010000331.1	SCAF_331
JALGQA010000332.1	SCAF_332
JALGQA010000333.1	SCAF_333
JALGQA010000334.1	SCAF_334
JALGQA010000335.1	SCAF_335
JALGQA010000336.1	SCAF_336
JALGQA010000337.1	SCAF_337
JALGQA010000338.1	SCAF_338
JALGQA010000339.1	SCAF_339
JALGQA010000034.1	SCAF_34
JALGQA010000340.1	SCAF_340
JALGQA010000341.1	SCAF_341
JALGQA010000342.1	SCAF_342
JALGQA010000343.1	SCAF_343
JALGQA010000344.1	SCAF_344
JALGQA010000345.1	SCAF_345
JALGQA010000346.1	SCAF_346
JALGQA010000347.1	SCAF_347
JALGQA010000348.1	SCAF_348
JALGQA010000349.1	SCAF_349
JALGQA010000035.1	SCAF_35
JALGQA010000350.1	SCAF_350
JALGQA010000351.1	SCAF_351
JALGQA010000352.1	SCAF_352
JALGQA010000353.1	SCAF_353
JALGQA010000354.1	SCAF_354
JALGQA010000355.1	SCAF_355
JALGQA010000356.1	SCAF_356
JALGQA010000357.1	SCAF_357
JALGQA010000358.1	SCAF_358
JALGQA010000359.1	SCAF_359
JALGQA010000036.1	SCAF_36
JALGQA010000360.1	SCAF_360
JALGQA010000361.1	SCAF_361
JALGQA010000362.1	SCAF_362
JALGQA010000363.1	SCAF_363
JALGQA010000364.1	SCAF_364
JALGQA010000365.1	SCAF_365
JALGQA010000366.1	SCAF_366
JALGQA010000367.1	SCAF_367
JALGQA010000368.1	SCAF_368
JALGQA010000369.1	SCAF_369
JALGQA010000037.1	SCAF_37
JALGQA010000370.1	SCAF_370
JALGQA010000371.1	SCAF_371
JALGQA010000372.1	SCAF_372
JALGQA010000373.1	SCAF_373
JALGQA010000374.1	SCAF_374
JALGQA010000375.1	SCAF_375
JALGQA010000376.1	SCAF_376
JALGQA010000377.1	SCAF_377
JALGQA010000378.1	SCAF_378
JALGQA010000379.1	SCAF_379
JALGQA010000038.1	SCAF_38
JALGQA010000380.1	SCAF_380
JALGQA010000381.1	SCAF_381
JALGQA010000382.1	SCAF_382
JALGQA010000383.1	SCAF_383
JALGQA010000384.1	SCAF_384
JALGQA010000385.1	SCAF_385
JALGQA010000386.1	SCAF_386
JALGQA010000387.1	SCAF_387
JALGQA010000388.1	SCAF_388
JALGQA010000389.1	SCAF_389
JALGQA010000039.1	SCAF_39
JALGQA010000390.1	SCAF_390
JALGQA010000391.1	SCAF_391
JALGQA010000392.1	SCAF_392
JALGQA010000393.1	SCAF_393
JALGQA010000394.1	SCAF_394
JALGQA010000395.1	SCAF_395
JALGQA010000396.1	SCAF_396
JALGQA010000397.1	SCAF_397
JALGQA010000398.1	SCAF_398
JALGQA010000399.1	SCAF_399
JALGQA010000004.1	SCAF_4
JALGQA010000040.1	SCAF_40
JALGQA010000400.1	SCAF_400
JALGQA010000401.1	SCAF_401
JALGQA010000402.1	SCAF_402
JALGQA010000403.1	SCAF_403
JALGQA010000404.1	SCAF_404
JALGQA010000405.1	SCAF_405
JALGQA010000406.1	SCAF_406
JALGQA010000407.1	SCAF_407
JALGQA010000408.1	SCAF_408
JALGQA010000409.1	SCAF_409
JALGQA010000041.1	SCAF_41
JALGQA010000410.1	SCAF_410
JALGQA010000411.1	SCAF_411
JALGQA010000412.1	SCAF_412
JALGQA010000413.1	SCAF_413
JALGQA010000414.1	SCAF_414
JALGQA010000415.1	SCAF_415
JALGQA010000416.1	SCAF_416
JALGQA010000417.1	SCAF_417
JALGQA010000418.1	SCAF_418
JALGQA010000419.1	SCAF_419
JALGQA010000042.1	SCAF_42
JALGQA010000420.1	SCAF_420
JALGQA010000421.1	SCAF_421
JALGQA010000422.1	SCAF_422
JALGQA010000423.1	SCAF_423
JALGQA010000424.1	SCAF_424
JALGQA010000425.1	SCAF_425
JALGQA010000426.1	SCAF_426
JALGQA010000427.1	SCAF_427
JALGQA010000428.1	SCAF_428
JALGQA010000429.1	SCAF_429
JALGQA010000043.1	SCAF_43
JALGQA010000430.1	SCAF_430
JALGQA010000431.1	SCAF_431
JALGQA010000432.1	SCAF_432
JALGQA010000433.1	SCAF_433
JALGQA010000434.1	SCAF_434
JALGQA010000435.1	SCAF_435
JALGQA010000436.1	SCAF_436
JALGQA010000437.1	SCAF_437
JALGQA010000438.1	SCAF_438
JALGQA010000439.1	SCAF_439
JALGQA010000044.1	SCAF_44
JALGQA010000440.1	SCAF_440
JALGQA010000441.1	SCAF_441
JALGQA010000442.1	SCAF_442
JALGQA010000443.1	SCAF_443
JALGQA010000444.1	SCAF_444
JALGQA010000445.1	SCAF_445
JALGQA010000446.1	SCAF_446
JALGQA010000447.1	SCAF_447
JALGQA010000448.1	SCAF_448
JALGQA010000449.1	SCAF_449
JALGQA010000045.1	SCAF_45
JALGQA010000450.1	SCAF_450
JALGQA010000451.1	SCAF_451
JALGQA010000452.1	SCAF_452
JALGQA010000453.1	SCAF_453
JALGQA010000454.1	SCAF_454
JALGQA010000455.1	SCAF_455
JALGQA010000456.1	SCAF_456
JALGQA010000457.1	SCAF_457
JALGQA010000458.1	SCAF_458
JALGQA010000459.1	SCAF_459
JALGQA010000046.1	SCAF_46
JALGQA010000460.1	SCAF_460
JALGQA010000461.1	SCAF_461
JALGQA010000462.1	SCAF_462
JALGQA010000463.1	SCAF_463
JALGQA010000464.1	SCAF_464
JALGQA010000465.1	SCAF_465
JALGQA010000466.1	SCAF_466
JALGQA010000467.1	SCAF_467
JALGQA010000468.1	SCAF_468
JALGQA010000469.1	SCAF_469
JALGQA010000047.1	SCAF_47
JALGQA010000470.1	SCAF_470
JALGQA010000471.1	SCAF_471
JALGQA010000472.1	SCAF_472
JALGQA010000473.1	SCAF_473
JALGQA010000474.1	SCAF_474
JALGQA010000475.1	SCAF_475
JALGQA010000476.1	SCAF_476
JALGQA010000477.1	SCAF_477
JALGQA010000478.1	SCAF_478
JALGQA010000479.1	SCAF_479
JALGQA010000048.1	SCAF_48
JALGQA010000480.1	SCAF_480
JALGQA010000481.1	SCAF_481
JALGQA010000482.1	SCAF_482
JALGQA010000483.1	SCAF_483
JALGQA010000484.1	SCAF_484
JALGQA010000485.1	SCAF_485
JALGQA010000486.1	SCAF_486
JALGQA010000487.1	SCAF_487
JALGQA010000488.1	SCAF_488
JALGQA010000489.1	SCAF_489
JALGQA010000049.1	SCAF_49
JALGQA010000490.1	SCAF_490
JALGQA010000491.1	SCAF_491
JALGQA010000492.1	SCAF_492
JALGQA010000493.1	SCAF_493
JALGQA010000494.1	SCAF_494
JALGQA010000495.1	SCAF_495
JALGQA010000496.1	SCAF_496
JALGQA010000497.1	SCAF_497
JALGQA010000498.1	SCAF_498
JALGQA010000499.1	SCAF_499
JALGQA010000005.1	SCAF_5
JALGQA010000050.1	SCAF_50
JALGQA010000500.1	SCAF_500
JALGQA010000501.1	SCAF_501
JALGQA010000502.1	SCAF_502
JALGQA010000503.1	SCAF_503
JALGQA010000504.1	SCAF_504
JALGQA010000505.1	SCAF_505
JALGQA010000506.1	SCAF_506
JALGQA010000507.1	SCAF_507
JALGQA010000508.1	SCAF_508
JALGQA010000509.1	SCAF_509
JALGQA010000051.1	SCAF_51
JALGQA010000510.1	SCAF_510
JALGQA010000511.1	SCAF_511
JALGQA010000512.1	SCAF_512
JALGQA010000513.1	SCAF_513
JALGQA010000514.1	SCAF_514
JALGQA010000515.1	SCAF_515
JALGQA010000516.1	SCAF_516
JALGQA010000517.1	SCAF_517
JALGQA010000518.1	SCAF_518
JALGQA010000519.1	SCAF_519
JALGQA010000052.1	SCAF_52
JALGQA010000520.1	SCAF_520
JALGQA010000521.1	SCAF_521
JALGQA010000522.1	SCAF_522
JALGQA010000523.1	SCAF_523
JALGQA010000524.1	SCAF_524
JALGQA010000525.1	SCAF_525
JALGQA010000526.1	SCAF_526
JALGQA010000527.1	SCAF_527
JALGQA010000528.1	SCAF_528
JALGQA010000529.1	SCAF_529
JALGQA010000053.1	SCAF_53
JALGQA010000530.1	SCAF_530
JALGQA010000531.1	SCAF_531
JALGQA010000532.1	SCAF_532
JALGQA010000533.1	SCAF_533
JALGQA010000534.1	SCAF_534
JALGQA010000535.1	SCAF_535
JALGQA010000536.1	SCAF_536
JALGQA010000537.1	SCAF_537
JALGQA010000538.1	SCAF_538
JALGQA010000539.1	SCAF_539
JALGQA010000054.1	SCAF_54
JALGQA010000540.1	SCAF_540
JALGQA010000541.1	SCAF_541
JALGQA010000542.1	SCAF_542
JALGQA010000543.1	SCAF_543
JALGQA010000544.1	SCAF_544
JALGQA010000545.1	SCAF_545
JALGQA010000546.1	SCAF_546
JALGQA010000547.1	SCAF_547
JALGQA010000548.1	SCAF_548
JALGQA010000549.1	SCAF_549
JALGQA010000055.1	SCAF_55
JALGQA010000550.1	SCAF_550
JALGQA010000551.1	SCAF_551
JALGQA010000552.1	SCAF_552
JALGQA010000553.1	SCAF_553
JALGQA010000554.1	SCAF_554
JALGQA010000555.1	SCAF_555
JALGQA010000556.1	SCAF_556
JALGQA010000557.1	SCAF_557
JALGQA010000558.1	SCAF_558
JALGQA010000559.1	SCAF_559
JALGQA010000056.1	SCAF_56
JALGQA010000560.1	SCAF_560
JALGQA010000561.1	SCAF_561
JALGQA010000562.1	SCAF_562
JALGQA010000563.1	SCAF_563
JALGQA010000564.1	SCAF_564
JALGQA010000565.1	SCAF_565
JALGQA010000566.1	SCAF_566
JALGQA010000567.1	SCAF_567
JALGQA010000568.1	SCAF_568
JALGQA010000569.1	SCAF_569
JALGQA010000057.1	SCAF_57
JALGQA010000570.1	SCAF_570
JALGQA010000571.1	SCAF_571
JALGQA010000572.1	SCAF_572
JALGQA010000573.1	SCAF_573
JALGQA010000574.1	SCAF_574
JALGQA010000575.1	SCAF_575
JALGQA010000576.1	SCAF_576
JALGQA010000577.1	SCAF_577
JALGQA010000578.1	SCAF_578
JALGQA010000579.1	SCAF_579
JALGQA010000058.1	SCAF_58
JALGQA010000580.1	SCAF_580
JALGQA010000581.1	SCAF_581
JALGQA010000582.1	SCAF_582
JALGQA010000583.1	SCAF_583
JALGQA010000584.1	SCAF_584
JALGQA010000585.1	SCAF_585
JALGQA010000586.1	SCAF_586
JALGQA010000587.1	SCAF_587
JALGQA010000588.1	SCAF_588
JALGQA010000589.1	SCAF_589
JALGQA010000059.1	SCAF_59
JALGQA010000590.1	SCAF_590
JALGQA010000591.1	SCAF_591
JALGQA010000592.1	SCAF_592
JALGQA010000593.1	SCAF_593
JALGQA010000594.1	SCAF_594
JALGQA010000595.1	SCAF_595
JALGQA010000596.1	SCAF_596
JALGQA010000597.1	SCAF_597
JALGQA010000598.1	SCAF_598
JALGQA010000599.1	SCAF_599
JALGQA010000006.1	SCAF_6
JALGQA010000060.1	SCAF_60
JALGQA010000600.1	SCAF_600
JALGQA010000601.1	SCAF_601
JALGQA010000602.1	SCAF_602
JALGQA010000603.1	SCAF_603
JALGQA010000604.1	SCAF_604
JALGQA010000605.1	SCAF_605
JALGQA010000606.1	SCAF_606
JALGQA010000607.1	SCAF_607
JALGQA010000608.1	SCAF_608
JALGQA010000609.1	SCAF_609
JALGQA010000061.1	SCAF_61
JALGQA010000610.1	SCAF_610
JALGQA010000611.1	SCAF_611
JALGQA010000612.1	SCAF_612
JALGQA010000613.1	SCAF_613
JALGQA010000614.1	SCAF_614
JALGQA010000615.1	SCAF_615
JALGQA010000062.1	SCAF_62
JALGQA010000063.1	SCAF_63
JALGQA010000064.1	SCAF_64
JALGQA010000065.1	SCAF_65
JALGQA010000066.1	SCAF_66
JALGQA010000067.1	SCAF_67
JALGQA010000068.1	SCAF_68
JALGQA010000069.1	SCAF_69
JALGQA010000007.1	SCAF_7
JALGQA010000070.1	SCAF_70
JALGQA010000071.1	SCAF_71
JALGQA010000072.1	SCAF_72
JALGQA010000073.1	SCAF_73
JALGQA010000074.1	SCAF_74
JALGQA010000075.1	SCAF_75
JALGQA010000076.1	SCAF_76
JALGQA010000077.1	SCAF_77
JALGQA010000078.1	SCAF_78
JALGQA010000079.1	SCAF_79
JALGQA010000008.1	SCAF_8
JALGQA010000080.1	SCAF_80
JALGQA010000081.1	SCAF_81
